"","Url","Date","Title","Body"
"1","https://www.theguardian.com/world/live/2020/apr/07/coronavirus-live-news-boris-johnson-intensive-care-uk-donald-trump-america-us-praying-recovery-latest-updates","2020-04-07T05:10:09-0400","Live  Coronavirus live news: Boris Johnson in intensive care as global deaths approach 75,000 ",""
"2","https://www.theguardian.com/world/live/2020/apr/07/uk-coronavirus-live-news-boris-johnson-spends-night-in-intensive-care","2020-04-07T05:08:27-0400","Live  UK coronavirus live news: Boris Johnson 'not on a ventilator' says Michael Gove ",""
"3","https://www.theguardian.com/world/2020/apr/07/coronavirus-world-map-which-countries-have-the-most-cases-and-deaths","2020-04-07T05:05:34-0400","  Coronavirus world map: which countries have the most cases and deaths? ","Since first being recorded late last year in China, the Covid-19 coronavirus has spread around the world, and been declared a pandemic by the World Health Organization. By early spring, Europe had become the worst-affected region, with Italy and Spain particularly hard hit. However, differences in testing mean that the number of cases may be understated for some countries.The number of deaths is a more dependable indicator. The disease is hitting Italy and Spain with particular cruelty. But the trajectory in many countries is the same; the UK and US are a couple of weeks behind Italy in the progress of the epidemic.Meanwhile in Asia, where the disease began, the spread continues, although in China it seems for now to have passed its peak.In Europe most countries have closed schools, and many are in lockdown.Finally, a reminder that most people who contract the disease recover; many may never notice they had it at all.Due to the unprecedented and ongoing nature of the coronavirus outbreak, this article is being regularly updated to ensure that it reflects the current situation at the date of publication. Any significant corrections made to this or previous versions of the article will continue to be footnoted in line with Guardian editorial policy."
"4","https://www.theguardian.com/world/2020/apr/07/senior-heart-surgeon-at-cardiff-hospital-dies-from-coronavirus",NA,"  Senior heart surgeon at Cardiff hospital dies from coronavirus ",""
"5","https://www.theguardian.com/world/live/2020/apr/07/australia-coronavirus-live-covid19-nsw-queensland-victoria-ruby-princess-death-toll-latest-updates","2020-04-07T05:01:43-0400","Live  Australia coronavirus live news: Western Australia records two new deaths – latest updates ",""
"6","https://www.theguardian.com/lifeandstyle/2020/apr/07/in-it-together-how-to-share-space-and-resolve-flatmate-rows-when-you-cant-storm-out","2020-04-07T05:00:21-0400","Lockdown living  In it together: how to share space and resolve flatmate rows when you can't storm out ","Generation Rent is used to living in cramped spaces – and to sharing those cramped spaces with others. But as the coronavirus lockdown wears on, we’re having to spend more time than ever cooped up in them. While all those useful places we once went to escape – the pubs, cafes, gyms and even friends’ homes – are out of bounds.Social distancing isn’t a problem for me; I’ve been practising it for years. If I could avoid my own shadow I would. However, for the less introverted and most of you who don’t reserve passing glances with long-time housemates solely for special occasions (such as when you have no choice), navigating this period might be quite difficult.For those sharing with friends, staying in might be slightly more bearable. But as the weeks wear on, it would be natural for tempers to fray even among the tightest groups. Those living with strangers may find it more awkward – although it could also be an opportunity to make a shared space more of a home. So how can you make sure you come out of this period with friendships intact, or deeper bonds formed? Here are some tips for successful lockdown living.The pandemic is affecting people in many different ways. Some manage to keep a level head, follow the official advice and make the best of it. Others find their worries spiralling, spending their time glued to 24-hour news feeds and weighing up every cough and hot flush with frantic Googling.If you have a housemate who is suffering with anxiety it may feel natural to rush to reassure them or dismiss their fears. But, says Dr Warren Mansell, a reader in clinical psychology at the University of Manchester, you should try to avoid this. “Ask them what they are really concerned about, and what they are worried might happen. Even then, you don’t need to provide reassurance, because often when people express their worries out loud, they question it themselves. So, just help them explore what they are worried about and what they want right now.”Mess is always a problem in house shares, even at the best of times. At one end, there’s the housemate who is prone to leaving passive-aggressive notes for those who aren’t following their high standards. Then there’s the housemate whose bedroom smells vaguely like cheese. But there are things you can do to avoid conflict when avoiding your housemate is impossible. “You can help these people who are overly concerned by showing that you are following the recommendations of washing your hands at appropriate times,” says Dr Anisha Patel-Dunn, a psychiatrist and chief medical officer at the US healthcare company LifeStance Health. “Putting a sign in the kitchen and bathroom showing what the recommendations are can be helpful for both those who are overly concerned or messy.”Or you could just have a chat. “Everyone has different standards for hygiene and tidiness, and this will just be made more apparent when living with each other all day in lockdown,” says Mansell. Often it is easy to assume what is behind another person’s messy or fussy behaviour – and easy to get it wrong. So the solution is to talk, ask and listen.Not everyone is taking the outbreak as seriously as they need to. For every anxious housemate, there is one who is still going out and visiting friends. Some of the myths around Covid-19 have endured since the initial outbreak. People are still comparing it to seasonal flu and concluding that the lockdown is an overreaction, while some still think being young and healthy makes you invulnerable. These myths are especially convincing when bouncing around an echo chamber. If one of your housemates is trapped in one, there are ways to bring them out. “Try to understand that some people are reacting to the current situation with denial,” says Patel-Dunn “Be honest and try and use ‘I’ statements so as to not make your housemate feel defensive: ‘I am feeling uncomfortable as I don’t feel you are following social-distancing rules. This is making me worried that we are all going to get sick.’ It can be helpful to gently direct them to what local and national officials are recommending.”Those of us lucky enough to still have a job are working from our beds, sofas and kitchen tables. But if everyone in your household is having to work from home there could be landgrabs for the best spot.I have been practising bedroom journalism since the lockdown began, but others might prefer to keep their workspace separate from where they sleep. Lee Chambers, an environmental psychologist and founder of the life-coaching company Essentialise Workplace Wellbeing, says communication is key. “It really comes down to scheduling, designating spaces and making it really clear,” he says. “You need to actively listen when people are expressing concerns or difficulties. Try to designate yourselves a workspace – one particular space that is sanitised.”Dr Elena Touroni, a consultant psychologist and co-founder of the Chelsea Psychology Clinic, agrees. “Ultimately, it comes down to communication and negotiation,” she says. “Ensure that there is a fair amount of taking it in turns if you need to be sharing the living room, for instance. That’s going to save anyone from feeling resentful or as though their needs aren’t being met.”Many of us suddenly find ourselves with all the time in the world to twiddle our thumbs or use them to turn the volume up on our sound systems. “Just be mindful of how your flatmates live. The technology is there to make sure that you’re not disturbing each other,” says Chambers. Using headphones is essential. “There is a lot of social communication going on now across video platforms.”Approaching your housemates about this can be difficult, especially if you don’t know them very well – or at all. “It is important to stay calm and try not to get upset as this won’t be helpful,” says Patel-Dunn. Like cooking and cleaning, devising a plan around work and play could be the way to go. “Asking your housemates to all work on setting up a schedule for everyone to abide by in the house, including quiet time, can be helpful in showing respect for one another’s time and creating a routine,” she adds.Storming out is not really an option at the moment, especially if you’ve already used your approved daily dose of exercise. So, as Flounce City is officially closed, conflict-resolution techniques are called for. “There is no right way to end an argument,” says Mansell. “Again though, as soon as you can shift the argument to ‘I want …’ and ‘It makes me feel …’, rather than ‘You do …’ and any overtly or implicitly critical comments, the better. Remind yourself that the goal is always some kind of compromise and understanding of the other person’s point of view, and never just to ‘win’.”With the lack of testing, we are all having to become expert symptom spotters, but we need to be careful about alarming people. “It will depend very much on what your existing relationship is with them as to when to tell them,” says Mansell. “If you are hesitant to tell them, think why. Is your worst fear about telling them likely to happen or not?”If someone in your household presents with the common symptoms (a fever and persistent cough) then you should follow the official guidelines, self-isolate and take steps to improve the hygiene in your home.“Probably not!” says Touroni. “The reality is that you’re going to have to spend a considerable period of time with them, and it might end up becoming uncomfortable for both of you if the feelings aren’t reciprocated. This is not the time to be taking major relational risks, particularly as we don’t have access to the same coping mechanisms or distractions that would otherwise provide us with some comfort.”"
"7","https://www.theguardian.com/books/audio/2020/apr/07/from-diseases-to-memes-how-do-things-spread-books-podcast","2020-04-07T04:59:08-0400","The Guardian Books podcast  From diseases to memes, how do things spread? - books podcast ",""
"8","https://www.theguardian.com/business/live/2020/apr/07/stock-markets-gain-coronavirus-spread-ftse-100-currencies-us-dollar-sterling-british-pound-boris-johnson-business-live","2020-04-07T04:48:53-0400","Live  Stock markets gain on signs of slowing coronavirus spread – business live ",""
"9","https://www.theguardian.com/lifeandstyle/2020/apr/07/coronavirus-money-diaries-how-people-spend-lockdown","2020-04-07T04:45:21-0400","  ‘I have about $80’: how eight people spend their money during lockdown ","Coronavirus isn’t just a public health crisis, it’s an economic one. However, the financial impact of the pandemic hasn’t been evenly distributed. While a record 6.65 million Americans filed for unemployment last week, others are working from their homes. Others, from their vacation homes. Here, eight people from different walks of life tell us how the current crisis is (or isn’t) affecting them financially.I recently started my career as a barber and we were all just laid off due to Covid-19 and told to file for unemployment. I live in a one-bedroom apartment with my boyfriend in Oklahoma City. He graduated in December and has been looking for a job since. Job postings have closed but luckily he just got hired at Target.We’re very worried about making rent, which is $620 a month and due on the third. The only thing my landlord has said is payments are due online. So we’ve been doing Postmates and I’ve been making and delivering pies, trying to make a little money. Postmates pays $6 or $7 a delivery; I’ve made $130 selling pies so far. I don’t have savings. I’m honestly just going day by day hoping people buy pies and I don’t have to beg my parents for money.I’ve got a background in fashion and hospitality, but for the past year and a half I’ve been living off the returns of bond funds and equities. So, for example, in the beginning of January I got disbursements that yielded $45,000. And I get payouts like that every few months. Not always for that amount, but it’s extremely livable.The current situation hasn’t really made me more worried about money. But getting a statement from my financial advisers outlining my losses for February was not an easy pill to swallow. When the market tanked because of coronavirus the value of my investments decreased by nearly $100,000 in value. I almost cried. OK, that’s a lie, I did cry.My spending habits haven’t really changed. I mean, I’m not dropping $600 on dinners at the Grill or the Beatrice. However, I’ve probably spent the same amount I usually do on other “necessities” ranging from Caviar, to online shopping, to Ubers. Also, I say this from a beachfront resort in St Thomas – so I guess it hasn’t really changed my spending much.Coronavirus is the second devastating blow in two years to the sex work market. The first was in 2018 with the passing of Fosta-Sesta (the Fight Online Sex Trafficking Act and the Stop Enabling Sex Traffickers Act). Those bills meant online publishers would be liable if sex workers posted ads on their platforms and, as a result, websites banned sex workers, and scores of our ad platform sites shuttered themselves. Vulnerable workers were pushed onto the streets. Pimps were texting us en masse saying: “The game has changed, you need us baby.” It destroyed the independence of many sex workers, and left us exposed to more trafficking. In-person sex work has been decimatedSo what’s happening now has to be seen in the context of an already flagging market. I’ve been a sex worker since 2002 and was escorting in 2008 and 2009. Back then we were told that vice is inelastic, right? That actually had some level of truth to it at the time. I was able to survive well enough through that recession. But this time, because in-person contact has become hazardous, it’s different. In-person sex work has been decimated.I have about $80 in my bank account now and I have no idea where the next money is coming from. I’m surviving financially by upcharging a few regular clients for sexting or phone sex, and luckily at this point I haven’t been existing purely on sex work. I think I might be able to pay my rent. Also, non-criminal evictions are not proceeding in Massachusetts, so there’s that. But even so, back rent would destroy me. I’m just trying to take things day by day. I can’t afford to stockpile food. I just have enough for the next two or three days. (Though I have got cat food for a week because priorities!) So I’m planning really early morning trips to the local dollar store because I live in a food desert in a tiny, economically depressed ex-mill town. But still, I want to say, if I say nothing else, that my position is really privileged as compared to other low-income sex workers. At least I have a home to isolate myself in.On paper I don’t make enough for the government stimulus to help me at all. And I wouldn’t be eligible for unemployment; it’s all part and parcel of being in a criminalized profession. There are relief funds that have been started for sex workers. But – as is common with any crisis hitting the sex work market – all the people giving to these funds are other sex workers. We have no political allies. We have no allies except each other.I just turned 65 in March and was planning to retire next July. There was a countdown calendar on my phone and everything. I was putting 20% of my pay into my 403(b) for retirement; it was doing great and everything was on track. I talked to my financial adviser less than eight weeks ago about it and he said: “Let’s just sit on it for a while, you might want to move some things around in April.” Well, then everything came crashing down. In the course of a week I lost a quarter of my investments. I met with my adviser immediately and told him to move everything to a savings account. Then I went to work and said: “Guess what? I’m not retiring next year after all.”My body hurts, my brain is tired. I’ve been working in healthcare for 45 years. As much as I enjoy what I do, I’m ready to be done. It’s incredibly disheartening having all your plans whipped out from under you. I’ll never make back the money that I lost. My friends are in similar positions.I understand that I’m better off than a lot of people in that I have anything set aside for retirement. And there’s really no one to blame for what happened. But I will tell you I really wish that Richard Burr [a Republican senator who sold off his investments at a very opportune moment] had called me and told me to change my stock portfolio.I’m a freelance actor and writer, and juggle lots of other jobs such as tutoring to pay the bills. Pretty much all my creative work has disappeared overnight. I’ve been fortunate enough to have some tutoring jobs via Zoom still, but that’s not very much money. I’m probably going to get about £600 ($743) a month from the government, which is based on 80% of how much I was earning over the past three years. Some of my freelance friends who have been on maternity leave aren’t getting anything.I live hand-to-mouth generally. I have roughly about a month buffer. My foolproof plan was that I could always just make extra money working in a bar or as an usher. But all of that’s gone. Creatives know we’ve chosen a financially risky life. But you graft and you are prepared to do other things to make it work. I just didn’t realize I had to make my career virus-proof.Rent is one of the biggest worries. I’m really fortunate that my landlady is lovely. She’s said she won’t evict me but I’m still worried that I’m going to accrue lots of months of rent debt.The current situation has highlighted which budgeting habits I’ll change when this is over. There will be less grabbing coffee and food on the run. I’ve been going through subscriptions I have and seeing if I really need them. Obviously the gym has been canceled; I can do workouts at home. I’ve started to re-evaluate how I’ve lived my life. Do I really need to be in London to do what I do?I’m finishing up my PhD dissertation and have to find a job soon. Interviews would normally happen in August and September but I don’t see that happening now. I’m also worried about what will happen with the nature of the university itself – I worry that they will stick with virtual learning because it will lower costs. I foresee academia being shaped by this for the long term.The main scare for me is that there’s no prospect of my husband getting a job that’s safeGrants are also up in the air right now - which we depend on as academics. I’ve already received a finishing grant which means my income from the year is $28,000. My husband is in logistics and he was laid off at the start of the panic. We rely primarily on him for the mortgage. We are OK for the next few months but talking to the mortgage provider and seeing if we can reduce payments is on my list of things to do. The main scare for me is that there’s no prospect of my husband getting a job that’s safe. We have a new baby who just came out of NICU; she was there for respiratory problems. I also have asthma. So it’s not safe for my husband to do Uber work or work in a grocery store. It’s a really unsure future for all of us.I’ve always been type A about budgeting because I’ve not always been financially secure – my single mom was always trying to make ends meet. However, I’ve started planning even more; particularly around food. I wasn’t one of the types running out to get toilet paper, I just wanted to have enough food in the house. When it comes to utilities that can be negotiated up to a point; food can’t.Until recently I was employed at the Outback Steakhouse in Massachusetts as a server and bartender. My wife worked there as well and was also laid off. There were some grants available but I didn’t qualify for because I was under the hour minimum because I supplement my income driving part time for Uber, Lyft and DoorDash. We were still catching up on bills from the birth of our daughter, and this pandemic put a hard halt to our momentum. We’ve basically had to go into panic mode and pay only the bills that are most time sensitive or urgent.I work at the University of Iowa as a creative coordinator. One of my main responsibilities is designing marketing materials for events. Well, there are no longer any events to market! I am lucky to still be receiving pay checks but there’s a chance I could lose my job in the next year. I am one of the most recently hired staff, so I could be the first to let go if they need to save money.My husband lost his job on 11 March. He managed a cafe in one of the buildings on campus. We live in a small yet expensive apartment near the downtown area. He is not able to pay for his share of rent, utilities, or groceries until he can find another job. And right now … no one is hiring.I am lucky to have a large audience on Twitter and Instagram; my accounts became popular after I began writing horoscopes every Sunday. So I have the opportunity to market my skills to my audience and receive a small income. Which is something I have not considered until now. Once the reality of our situation set in I asked my followers how they would feel about paying $5 for a three-card tarot reading. After receiving about 150 requests via email, I closed the service temporarily to ensure I had time to get to all of them. So, for now, I am not too worried about money. This has given me the opportunity to make a little money on the side as a safety net.I own barre3, a fitness studio in Iowa; we opened exactly one year ago. We’re doing the best we can and have transferred a fraction of our classes over to livestream. But the equipment needed to set up other instructors to teach from their homes is cost prohibitive. We’re down about 60% in revenue this month and I’m unsure how long I can keep my current members with this setup. Without the revenue from members’ recurring payments, I’m not sure how long we will last. I’m thankful for the aid packages for small businesses just passed but understanding it and how to receive it is overwhelming. And I’m unsure if it will be enough for my business.My husband is a software developer; his work hasn’t been affected. Having a steady income through this is letting me sleep at night. We recognize that while we are taking a hit other people are worried about their next meal. So we’re spending a lot more on money on takeout than we would normally to try and help the local community. We’re also trying to get our groceries from a small grocer rather than the big brands.I have two boys, ages eight and four. We’re saving about $800 this month in childcare as my parents watched my younger one when he wasn’t in preschool but we’d much prefer to pay the money. We don’t feel prepared to teach them nor do we have the time to do it. We purchased both of them iPads so we could work with fewer interruptions – we’re concerned about the amount of screen time they are getting but we just don’t know how to make it all work. I feel pulled in a million directions and that I’m doing none of my roles (mother, business owner, boss, wife, friend, daughter, sister) well."
"10","https://www.theguardian.com/australia-news/2020/apr/07/no-year-13-australian-year-12-students-to-graduate-in-2020-despite-coronavirus-disruption","2020-04-07T04:44:13-0400","  'No year 13': Australian year 12 students to graduate in 2020 despite coronavirus disruption ","All Australian year 12 students will graduate in 2020 despite the interruption of Covid-19, after education ministers ruled out a “year 13” to complete their studies in 2021.The federal education minister, Dan Tehan, told reporters in Melbourne that the Coag education council had unanimously agreed “there will be no year 13, there will be no mass repeating”.“Every student will get an Atar [Australian Tertiary Admission Rank] certificate for 2020, so they can go to university, vocational education, or employment, next year,” he said.The Universities Australia chief executive, Catriona Jackson, welcomed the move, saying it was “not in anyone’s interest – neither the students, their parents, the schools or universities – to stop students from moving on”.In early March, the national cabinet came under intense community pressure to close schools to respond to Covid-19, which it resisted due to expert medical advice children were less likely to transmit coronavirus and closures could last many months.Victoria brought forward school holidays, while other states and territories used pupil-free days to prepare for terms 2 and 3 being delivered through e-learning after the Easter break.In-person attendance has dropped to as low as 5% in New South Wales in the state system, with independent schools moving tuition online and Catholic and public schools scrambling to catch up, amid warnings of a “digital divide” between schools.Australian universities are changing traditional admission policies to account for the disruption to year 12 students’ studies.On Tuesday, Tehan told year 12 students in a statement that “the work you will do in year 12 this year is incredibly important and your results will be as valuable as any previous year”.The states and territories will “follow national principles to support local decisions” – with each jurisdiction responsible for awarding senior secondary certificates, he said.Tehan told reporters that each state and territory will decide the end-of-year assessment process in their jurisdiction, while the commonwealth will work with the university and vocational education sectors to determine how Atars will be assessed.“We want this year’s Atar score to look like last year’s Atar score and there is no reason we can’t do that.”Tehan said that primary school posed “challenges” that put “extra requirements on teachers and require parents to be patient” but teachers will be given resources to teach at all levels.“Everyone is committed to make sure that as much learning as possibly can will take place this year.“Covid-19 is going to take a lot from us. But everyone is determined that it won’t take education away from our children.”Asked if schools will return in term 2, Tehan confirmed the Northern Territory will proceed “as normal” while Western Australia and South Australia are also considering their circumstances.Jackson said that universities use “a wide range of methods to assess and admit students – in addition to the Atar”.“For year 12 students, these include assessment of a student’s results across year 11 and 12, especially in the subjects most relevant to the degree the student has applied for,” she said.“Universities can review portfolios of students’ work and take extra-curricular activities into account.“Where appropriate, universities use aptitude tests. All universities offer a variety of bridging, foundation and enabling courses to prepare students for university, providing another pathway.”"
