"","url_vect","date_vect","title_vect","body_vect"
"1","https://www.theguardian.com/world/live/2020/apr/05/coronavirus-live-news-cases-approach-12m-as-trump-tells-americans-to-expect-a-lot-of-death","

Sun 5 Apr 2020 17.40 EDT

First published on Sat 4 Apr 2020 19.36 EDT
","Coronavirus live news: Boris Johnson admitted to hospital","No text"
"2","https://www.theguardian.com/world/live/2020/apr/05/coronavirus-us-deaths-trump-latest-news-updates","

Sun 5 Apr 2020 17.40 EDT

First published on Sun 5 Apr 2020 08.40 EDT
","US coronavirus live: New York governor Andrew Cuomo says 'this is war time'","No text"
"3","https://www.theguardian.com/uk-news/2020/apr/05/scotland-chief-medical-officer-seen-flouting-lockdown-advice-catherine-calderwood","

Sun 5 Apr 2020 17.17 EDT

First published on Sun 5 Apr 2020 03.56 EDT
","
Scotland's chief medical officer quits over second home row
","
Scotland’s chief medical officer, Catherine Calderwood, has resigned her post after coming under intense criticism for breaking her own rules to twice visit her second home during the coronavirus outbreak.
In a statement issued on Sunday night, more than seven hours after insisting she would carry on, Calderwood said she had discussed her position with Nicola Sturgeon and concluded her position was untenable.
“I am deeply sorry for my actions and the mistakes I have made,” Calderwood said.
“The first minister and I have had a further conversation this evening and we have agreed that the justifiable focus on my behaviour risks becoming a distraction from the hugely important job that government and the medical profession has to do in getting the country through this coronavirus pandemic.
“Having worked so hard on the government’s response, that is the last thing I want.
“The most important thing to me now and over the next few very difficult months is that people across Scotland know what they need to do to reduce the spread of this virus and that means they must have complete trust in those who give them advice. It is with a heavy heart that I resign as chief medical officer.”
Earlier it emerged that she had visited her seaside holiday home in Fife twice over the last 10 days, including with her children this weekend, despite repeatedly warning the public that non-essential journeys risked lives. Calderwood will remain in the post and continue advising the Scottish government, but the current advertising campaign which features her will now be revised.
Police Scotland’s chief constable, Iain Livingstone, said his officers had given Calderwood a formal warning about her conduct after visiting her home on Sunday.
In an intervention designed to shore up public confidence in the lockdown, Livingstone used his force’s Twitter feed to chastise Calderwood.
“The legal instructions on not leaving your home without a reasonable excuse apply to everyone,” he said. “Individuals must not make personal exemptions bespoke to their own circumstances.”
The first minister said during her daily media briefing on the crisis that she was extremely disappointed with Calderwood’s behaviour, but said she wanted her to stay in her post. “Whatever her reasons for doing so, she was wrong, and she knows that,” Sturgeon said, adding that Calderwood had given her an unreserved apology.

“If I’m to do what I need to do, to steer this country through the crisis to the very best of my ability I need her to be able to focus on the job she is doing,” Sturgeon said. “A job that – notwithstanding her mistake on this – she is doing extremely well.”
In a clear signal Sturgeon planned to defend her, Calderwood stood alongside the first minister during the briefing, which was being broadcast live online. Calderwood said she was “truly sorry” for breaching her own advice not to travel, and acknowledged NHS staff had attacked her conduct.
“I have seen a lot of the comments from members of the public on Twitter today, people calling me a hypocrite, people telling me what hardships they have endured while following my guidance,” she said. “What I did was wrong, I’m very sorry. It will not happen again.”

Facing repeated questions about Calderwood’s actions, Sturgeon was asked several times whether the chief medical officer had tendered her resignation. Sturgeon refused to confirm or deny that she had, but hinted Calderwood had offered to step down and that her offer was rejected.
She said: “The chief medical officer made clear to me she would do whatever she is required to do to in my judgment to be in the best interests of the country. It is my view that that would not be her resignation because that would deprive me and the government of her expertise.”
As the controversy intensified during the day on Sunday, a Scottish government advert featuring Calderwood’s warnings against all unjustified travel was still being broadcast, in which she said: “This is a vital update about coronavirus. To help save lives, stay at home. Anyone can spread coronavirus.
“Only go out when absolutely necessary for food, medicine, work or exercise … Stay home. Protect Scotland’s NHS and save lives.”
Labour and the Liberal Democrats urged Calderwood to quit on Sunday after the Sun published photographs of Calderwood, her husband, three children and dog taking walks near their second home in Earlsferry, in the East Neuk of Fife, on Saturday. That included a visit to a nearby beach.

Willie Rennie, the Scottish Lib Dem leader and a local MSP, said residents in the picturesque village were furious about an influx of second-home owners arriving there over the weekend. Backed by Scottish Labour, he said Calderwood’s actions would weaken public confidence in the lockdown.
“The main street was described as being like a motorway and many second homes are full up,” he said in a joint statement with Wendy Chamberlain, the local Lib Dem MP and a former police officer. “There is real concern that with a swollen population and a virus sweeping through, the local health services will just not cope.”
Sturgeon deflected questions about the candour of her government’s first statements defending the chief medical officer’s actions, and fielded questions that reporters had put to Calderwood.
On Saturday, the Scottish government said Calderwood had been working “seven days a week” and “she took the opportunity this weekend to check on a family home in Fife as she knows she will not be back again until the crisis is over”.
That statement failed to explain why the whole family needed to go or stay overnight. During the briefing on Sunday, Calderwood admitted she and her husband had also gone to Earlsferry the previous weekend – a fact not disclosed by the government on Saturday.


Topics



Scotland






Scottish politics




Coronavirus outbreak




Health




news






Share on Facebook






Share on Twitter






Share via Email






Share on LinkedIn






Share on Pinterest






Share on WhatsApp






Share on Messenger








Reuse this content




"
"4","https://www.theguardian.com/commentisfree/2020/apr/05/trump-is-killing-his-own-supporters-coronavirus-covid-19","

Sun 5 Apr 2020 17.07 EDT

Last modified on Sun 5 Apr 2020 17.32 EDT
","
'Trump is killing his own supporters' – even White House insiders know it
","
On Sunday, initially at least, there was no White House briefing on the president’s public schedule. But the bad news kept coming. Coronavirus deaths continued to climb and reports of the heartland being unprepared for what may be on its horizon continued to ricochet around the media.



Jared Kushner's coronavirus overreach puts more American lives on the line | Lloyd Green







Read more





In the words of one administration insider, to the Guardian: “The Trump organism is simply collapsing. He’s killing his own supporters.”
Members of the national guard, emergency workers, rank-and-file Americans: all are exposed. Yet Trump appears incapable of emoting anything that comes close to heart-felt concern. Or just providing straight answers.
Rather, he is acting like Jefferson Davis, the president of the Confederate States of America: repeatedly letting governors know the burden of shoring up their sick, their doctors and their people falls on their shoulders first. The national government? It’s the world’s greatest backstop.
Remember when the Republican party freaked out about Barack Obama and the US “leading from behind” abroad? Remember the howls that evoked from GOP leaders? Those days are gone. Welcome to what Martin O’Malley, a Democratic former governor of Maryland, calls the “Darwinian approach to federalism”.



There is nothing like populism marinated in wholesale contempt for the populace

Trump is telling NFL owners he wants the season to start on time. He is disregarding Centers for Disease Control and Prevention advice on wearing facemasks in public. And he is touting untested coronavirus cures live on national TV.
Think Trump University on steroids, only this time we all stand to be the victims.
When Dr Anthony Fauci says there is no evidence to back up Trump’s claims surrounding hydroxychloroquine, an anti-malaria drug, pay attention. The fact Jared Kushner is on the case is hardly reassuring. He’s the guy who thought firing James Comey was win-win politics and promised Middle East peace in our time.
While all this is going on, the Wisconsin Republican party is giving America a taste of the campaign to come in the fall. Right now, the Badger State GOP is fighting in the US supreme court efforts to extend mail-in voting for this Tuesday’s Democratic primary.
In other words, voters will be forced to choose between foregoing their rights and risking their lives. Democracy shouldn’t work that way.
Back in the day, Republicans looked upon absentee voting as a valuable adjunct, a key piece in the party’s election day arsenal. Not anymore. Instead it is a dreaded foe, a fact readily admitted by Trump on Fox & Friends this week. If the US were to adopt mail-in voting, said the president, “you’d never have a Republican elected in this country again”.
For good measure, Trump later declared from the White House: “I think a lot of people cheat with mail-in voting.”
For the record, Trump voted by mail in 2018. In March, the Palm Beach Post reported that he had requested a mail-in vote for the Florida Republican primary.
There is nothing like populism marinated in wholesale contempt for the populace. In case Trump and the Republicans forgot, “We the People” are the constitution’s first three words.



If you can leave your soldiers to suffer then no American is truly safe

Sadly, once again we are reminded that Ridley Scott and Russell Crowe’s masterpiece, Gladiator, is the movie for this presidency and its tumultuous times. In one scene, a senator, Gracchus, attempts to confront Commodus, the emperor, about a plague spreading through Rome. The emperor declines, threatens the senator and muses about disbanding the Senate.
On Thursday, Trump forced the removal of Captain Brett Crozier from his command of the aircraft carrier USS Theodore Roosevelt, for having the temerity to plead his sailors’ case as more than 100 of them tested positive for coronavirus.
If you can leave your soldiers to suffer then no American is truly safe, no matter what Jeanine Pirro may say. Crozier left the ship to the cheers of the crew – then reportedly tested positive himself.
Hours after dismissing Crozier, Trump sacked Michael Atkinson, the intelligence community’s inspector general, for simply doing his job. Trump’s Ukraine call was never perfect, however many times he says it was.



To Donald Trump, coronavirus is just one more chance for a power grab | Robert Reich







Read more





Hail Caesar, indeed.
Whether Trump wins reelection is an open question. For now, the economy is cratering and the coronavirus death toll has exploded. Not a promising combination. Herbert Hoover faced a depression, not a plague. Trump may contend with both.
According to Chris Christie, a former New Jersey governor and the man who sent Charlie Kushner, Jared’s father, to prison, November will be a referendum on Trump. Joe Biden is nearly irrelevant.
For the moment, Trump holds a commanding lead among Republicans. Seven months from now, we will learn if party loyalty is enough to secure a second term.


Topics







Donald Trump




Opinion






Trump administration




Coronavirus outbreak




US domestic policy




US politics




Republicans




US elections 2020




comment






Share on Facebook






Share on Twitter






Share via Email






Share on LinkedIn






Share on Pinterest






Share on WhatsApp






Share on Messenger








Reuse this content




"
"5","https://www.theguardian.com/world/2020/apr/05/who-runs-the-country-boris-johnson-coronavirus","

Sun 5 Apr 2020 17.04 EDT

First published on Sun 5 Apr 2020 16.53 EDT
","
Who runs the country if Boris Johnson is out of action?
","
In his role as first secretary of state, the prime minister’s de facto deputy, Dominic Raab will be expected to stand in for Boris Johnson if he is unable to work because of coronavirus.
While other ministers, including the health secretary Matt Hancock and the chancellor, Rishi Sunak, have been more visible during the Covid-19 outbreak, that position means he takes up the prime minister’s responsibilities if Johnson were unable to perform them himself.
Until now aides to the prime minister have insisted that Johnson can continue to work by video link, like much of the rest of the workforce. But on Sunday night Downing Street said that Raab was expected to chair the government’s coronavirus meeting on Monday morning. No 10 said that despite Raab’s duties, Johnson remained in charge.
Like many of the government’s key decision-makers, Raab was a prominent figure in the 2016 Vote Leave campaign, sent out to tour TV studios and staff up the spin rooms for debates.
Unlike Michael Gove, whose dramatic intervention in that summer’s leadership contest has been forgiven but not forgotten, Raab is implicitly trusted by Johnson and his team. Also unlike Gove, he resigned rather than accept Theresa May’s Brexit deal – seen as the ultimate test of a true believer.
Raab has tested negative for coronavirus himself, having come down with a cough.
It has also been reported that if Johnson’s key aides, Dominic Cummings and Lee Cain, were to be incapacitated, they would be replaced by Conservative campaign director Isaac Levido. Cummings also displayed symptoms of coronavirus last weekend.


Topics



Coronavirus outbreak






Boris Johnson




Dominic Raab




explainers






Share on Facebook






Share on Twitter






Share via Email






Share on LinkedIn






Share on Pinterest






Share on WhatsApp






Share on Messenger








Reuse this content




"
"6","https://www.theguardian.com/world/2020/apr/05/irish-taoiseach-leo-varadkar-to-work-a-day-a-week-as-a-doctor","

Sun 5 Apr 2020 16.55 EDT

First published on Sun 5 Apr 2020 16.35 EDT
","
Irish taoiseach Leo Varadkar to work a day a week as a doctor
","
Leo Varadkar is to work one day a week as a doctor to help combat the coronavirus pandemic after reactivating his medical credentials.
Ireland’s taoiseach has offered his services to the Health Service Executive (HSE) in areas that are within his competence, a spokesperson for his office said on Sunday.
“Dr Varadkar rejoined the medical register last month,” a spokesperson told the Guardian. “He has offered his services to the HSE for one session a week in areas that are within his scope of practice.



Boris Johnson admitted to hospital with coronavirus







Read more





“Many of his family and friends are working in the health service. He wanted to help out even in a small way.’
Varadkar, 41, worked as a junior doctor in Dublin and qualified as a GP in 2010 before quitting medicine to become a full-time politician, and later becoming premier.
Last month the HSE appealed to all healthcare professionals who were not already working in the public health service to register to be “on call for Ireland”. Thousands of nurses, doctors, medical students and others have responded, some coming out of retirement, others flying back from abroad.
The Irish Times, which first reported the story, said the taoiseach was understood to be doing phone assessments, in keeping with the protocol to advise people who could be infected over the phone rather than in person.
Varadkar’s father Ashok, an Indian immigrant, was a GP and his mother Miriam was a nurse. His partner Matthew Barrett is a cardiologist.
He has won plaudits from across the political spectrum for his handling of the coronavirus crisis. Ireland adopted early restrictions and appears to have avoided an unmitigated pandemic, though cases are expected to surge this week.
Varadkar succeeded Enda Kenny in 2017 as leader of Fine Gael, a centrist party, and as taoiseach. He earned praise for his handling of the economy and Brexit talks but in a general election in February voters punished the party for failures in housing and healthcare.
Varadkar was expected to run a caretaker administration before leading Fine Gael into opposition. However Sinn Féin, which won more votes than any other party, has not formed a governing coalition. Fine Gael and another centrist party, Fianna Fáil, are in talks to form a historic coalition that would see Varadkar rotate the position of taoiseach with the Fianna Fáil leader Micheál Martin.


Topics



Coronavirus outbreak






Ireland




Leo Varadkar




Europe




Infectious diseases




Medical research




Microbiology




news






Share on Facebook






Share on Twitter






Share via Email






Share on LinkedIn






Share on Pinterest






Share on WhatsApp






Share on Messenger








Reuse this content




"
"7","https://www.theguardian.com/world/2020/apr/05/hertfordshire-hospital-forced-to-consider-who-should-be-refused-oxygen","

Sun 5 Apr 2020 16.35 EDT

First published on Sun 5 Apr 2020 13.05 EDT
","
Hertfordshire hospital forced to consider who should be refused oxygen
","
Oxygen supplies at a Hertfordshire hospital inundated with coronavirus patients became so precarious last week that officials considered how to decide who should receive the gas and who should miss out and likely die, the Guardian understands.
The oxygen system at Watford general hospital came close to breaking point on Saturday, when a critical incident was declared and staff had to tell the public not to come to the hospital. Some patients were moved out to prevent the vital system failing.
Last week, health planners in Hertfordshire, where more than 800 cases of coronavirus have been recorded, became so concerned about oxygen supplies they alerted the military that they might need help. The area has been under huge pressure from the Covid-19 pandemic, with mortuary space filling up and plans being made to increase capacity four-fold. As of 5pm Thursday, 29 people had died at West Hertfordshire Hospitals NHS trust hospitals after being diagnosed with Covid-19. The trust is responsible for Watford general as well as Hemel Hempstead and St Albans City hospitals.
A senior clinician said: “They were [consulting] the hospital ethics committee every day and considering who they were not going to oxygenate and ventilate if they needed it, and making decisions about who would be triaged to not have oxygen and die.”

The decision to announce a critical incident on Saturday meant no one had to go without oxygen, the trust said.
Oxygen therapy is key to the successful treatment of advanced cases of Covid-19, and last Tuesday NHS England warned hospitals across the country about the risk to supplies in an urgent patient safety notice. It highlighted the dramatic recent increase in hospitals’ use of ventilators and in particular CPAP machines, which dispense ventilation through a face mask.
The pressure on Watford general’s oxygen system was not unexpected, according to documents seen by the Guardian.
Last week, healthcare planners in the area said they pleaded with the government and the NHS to urgently approve works to the hospital’s oxygen system and warned NHS England on Wednesday that the situation was critical.
However, NHS England said that it had alerted trusts, including West Hertfordshire, to the need to prepare their oxygen systems in February when the threat of the coronavirus epidemic was looming.
“All trusts were written to by NHS England in February reminding them to carry out engineering checks on ventilation equipment, and were further issued with guidance on how to use the kit safely, on 1 April,” a spokesperson said.
Works to overhaul Watford general’s oxygen supply system had been planned before the outbreak, but were put on hold. Local planners felt their attempts to get them urgently restarted were frustrated by communication difficulties in central government, the documents show.
On Friday, the day before the critical incident was declared, the planners considered making a military aid request and began a process that could allow the armed forces to step in and help.

“On 30 March, the multi-agency group in Hertfordshire asked the government to get the works moving as they had been planned for some time, and they noted how urgent they were, but nothing happened,” the senior clinician said. “There was no response. On 1 April, the trust reported that they were at max capacity for oxygen and we raised the issue with NHS England and got nowhere.”
West Hertfordshire Hospitals NHS trust declined to comment beyond giving its account of the incident on Saturday.
The trust said it was “a technical issue with our individual hospital’s oxygen equipment, which does not pose any risk to our patients”. It added that “a safe level of oxygen [was] maintained throughout”. The incident was triggered by growing concern that the system was close to capacity, sources said.
However, NHS England said it was not a result of capacity problems “but due to a technical fault in their oxygen ventilation equipment, which engineers are now fixing, with the critical incident stood down last night.”
Referring to consultations with the ethics committee about what would happen in the event of severe oxygen problems, the NHS England spokesperson said: “The incident did not lead to any patient harm, however in any major incident it is absolutely right that hospitals plan for every possible scenario to manage patient care.”
Daisy Cooper, Liberal Democrat MP for St Albans, said: “I raised the question of possible oxygen shortages with the government privately more than a week ago and this weekend Watford general A&E had to close for a day because its oxygen equipment malfunctioned.“The government must now ensure that Watford general has whatever resources it needs to shore up ventilation systems, given the expectation that numbers of Covid-19 patients will continue to rise in the coming days.“For hospitals like Watford general which are near capacity, we need to know now what steps will be taken to signpost coronavirus patients, in real time, to the nearest medical facilities with capacity. The government must commit that, if needed, it will relocate Hertfordshire patients with coronavirus to the new Nightingale hospital in London, or build additional field hospitals to serve areas including Hertfordshire.” 
A senior consultant in London warned that hospitals in the capital were also reaching capacity. “We had a meeting at midday on Saturday with other south London hospitals to look at beds data, as we are pretty much full,” the doctor told the Guardian.




Play Video






 Coronavirus: opening of emergency Nightingale hospital in London – watch live
“The Nightingale hospital will only open just in time, and for the next few days we are managing capacity as best we can … everywhere is up to the limit. That is reflective of elsewhere in London,” he added.
He said that transferring patients across hospitals through the South London transfer network has “saved multiple lives and them offloading us prevents us from making difficult choices. We would have run out of ventilators if we could not have transferred patients out to other hospitals”.
He said: “My fear is that I will end up confronting a patient who I would need to intubate but do not have the machines to do it, so being unable to help a patient as I don’t have the kit. I hope not to be in that situation, but the fear would be that I am.”


Topics



Coronavirus outbreak






Hospitals




NHS




Doctors




Health




news






Share on Facebook






Share on Twitter






Share via Email






Share on LinkedIn






Share on Pinterest






Share on WhatsApp






Share on Messenger








Reuse this content




"
"8","https://www.theguardian.com/politics/2020/apr/05/boris-johnson-admitted-to-hospital-with-coronavirus","

Sun 5 Apr 2020 16.32 EDT

Last modified on Sun 5 Apr 2020 17.32 EDT
","
Boris Johnson admitted to hospital with coronavirus
","
Boris Johnson has been admitted to hospital with coronavirus after suffering persistent symptoms for 10 days.
Downing Street insisted it was just a precautionary measure but Johnson’s admission on a Sunday evening comes after days of rumours that his condition has been worsening.
A Downing Street spokesperson said: “On the advice of his doctor, the prime minister has tonight been admitted to hospital for tests. This is a precautionary step, as the prime minister continues to have persistent symptoms of coronavirus 10 days after testing positive for the virus.”
Johnson is reported to be in an NHS hospital in London where he will stay for “as long as needed”.
It is understood Johnson remains in charge of the government, although Dominic Raab, the foreign secretary and first secretary of state, is poised to take charge if he should worsen.
Raab, who is the designated minister to take over if the PM is incapacitated, will chair the 9.15am Monday meeting of the government’s C-19 committee, which leads the response to the pandemic.
Johnson had been hoping to leave quarantine on Friday after seven days of self isolation but his persistent temperature meant he had to remain inside his flat at No 11 Downing Street.
The Guardian was told last week that Johnson was more seriously ill than either he or his officials were prepared to admit, and that he was being seen by doctors who were concerned about his breathing.
But Downing Street flatly denied that the prime minister’s health had seriously deteriorated, and insisted there were no plans at that point for him to be admitted to hospital.
Earlier on Sunday, Matt Hancock was asked just how ill the prime minister was. The health secretary told Sophy Ridge on Sunday: “He’s OK. I’ve been talking to him every day, several times a day… he’s very much got his hand on the tiller. But he’s still got a temperature.” He added: “He’s working away inside Downing Street. He’s in good spirits.”
Hancock himself has only recently come out from isolation after testing positive for coronavirus, although his symptoms appear to have been notably milder.
Johnson’s partner, Carrie Symonds, who is pregnant, revealed on Saturday that she had also been suffering from the virus but is recovering.
Keir Starmer, the new Labour leader, was among a string of MPs to tweet their best wishes to Johnson. “Wishing the prime minister well and a speedy recovery,” he wrote.
Jeremy Hunt, the former health secretary and Johnson’s main rival for the Conservative leadership last year, tweeted: “Thoughts with Boris Johnson this evening. Whatever political persuasion the whole country is united in wanting our PM to get fit and well as soon as possible.”


Topics



Boris Johnson






Coronavirus outbreak




London




news






Share on Facebook






Share on Twitter






Share via Email






Share on LinkedIn






Share on Pinterest






Share on WhatsApp






Share on Messenger








Reuse this content




"
"9","https://www.theguardian.com/world/2020/apr/05/coronavirus-testing-kits-could-be-unreliable-uk-scientists-say","

Sun 5 Apr 2020 16.27 EDT

Last modified on Sun 5 Apr 2020 17.32 EDT
","
Coronavirus 'game changer' testing kits could be unreliable, UK scientists say
","
The huge stock of 17.5m antibody home testing kits ordered by the government after Boris Johnson said they could be a “game changer” could in fact be unreliable, scientists have said, saying that they may fail to detect up to half of coronavirus cases.
After the prospect of the pregnancy test-style kits was first raised, it was suggested the tests would be made available “within days” on Amazon and via Boots, to allow people who have had the virus to return to the workplace confident in the knowledge that they are safe.
But in recent days, ministers have appeared to play down the likelihood of the tests being universally effective, with the health secretary, Matt Hancock, saying on Sunday that the tests were not yet “good enough”.
Now scientists involved in validating home testing kits have told the Guardian that no test on the market has yet been shown to be sufficiently reliable. Some kits, which claim a more than 90% rate of accuracy, appear to have been tested only in hospital on patients with very significant symptoms.



'Absolutely wrong': how UK's coronavirus test strategy unravelled







Read more





One expert told the Guardian that in reality the sensitivity of the tests was likely to be relatively low and more likely to detect 50%-60% of those with milder symptoms – the group for whom the tests were intended.
The warnings over the limit to the value of the tests came as another 621 deaths were announced, a drop on the previous day’s record total of 708.
Meanwhile on Sunday:
• Hancock criticised the “unbelievable” behaviour of people packing into parks at the weekend and said rules on exercise could change before clarifying that the government was “not planning any changes imminently”.
• Scotland’s chief medical officer, Catherine Calderwood, apologised after it emerged that she went to her second home during the lockdown and withdrew from being the public face of the government’s information campaign north of the border.
• Italy recorded its lowest number of cases in two weeks, with the total number of people in hospital with the virus falling for the first time since the beginning of the crisis.
• Sweden prepared legislation to allow it to take “extraordinary steps” to tackle the crisis, as concerns continued that its unusual “slow spread” strategy was not working.
• A nurse and a midwife who died last week in the UK were named, while the Marquess of Bath, the owner of Longleat safari park, was also announced to have died.
The scepticism over the value of the tests comes at a time of ongoing concern over whether the details of UK government pledges on coronavirus stand up to scrutiny. Last week ministers were widely criticised for fluctuating claims over the total number of tests that could be conducted each day, with Boris Johnson’s initial claim that 250,000 was possible superseded by Hancock’s promise to scale up to 100,000 a day by the end of April.
On Sunday, Hancock appeared to contradict himself over the production of the ventilators crucial to treatment of the most severe coronavirus cases, telling the BBC that there “should be another 1,500” in a week’s time before telling the Downing Street briefing “we haven’t got an exact figure”.
He had announced the purchase of 3.5m antibody test kits on 24 March but a week later it emerged that they had not been bought, but rather had “contracts agreed subject to testing”.
The big range in immune response seen across the population also raises the troubling prospect that those who have had mild symptoms may not have long-term immunity against Covid-19.
Prof Marion Koopmans, head of virology at the Erasmus University Medical Centre in Rotterdam, whose lab is assessing home testing kits in the Netherlands, said: “So far, I’m not aware of any home tests that have passed our quality mark. Based on what I’ve seen so far I’d be hesitant to give you an immunity passport based on a rapid test result.”
A senior UK scientist who is working on lab-based antibody testing for Covid-19, said that given the current state of knowledge he was “amazed the government had sufficient confidence” to go ahead with the purchase of millions of tests. “A lot of us did a double-take,” he said.
Another UK scientist said that none of the home test kits currently under evaluation in the UK were performing well enough, but did not give specific performance figures.
Last month, Boris Johnson described the kits, which take as little as 20 minutes to use, as a potential “game changer” and their use is outlined in the government’s five pillar testing strategy. However, this weekend Hancock played down expectations, telling BBC One’s The Andrew Marr Show that there were no immediate plans to roll out antibody testing kits. “We’re getting the test results through every day, I was looking at some last night,” he said. “But we still don’t have any that are good enough.”
Emerging evidence suggests that there is a wide range of antibody responses to coronavirus across the population, which may make the development of a simple, reliable home test that will work for everyone a considerable challenge. 
Dr David Ho, a leading infectious disease specialist at Columbia University in New York, said that, based on patient samples analysed by his team, those with severe illness tend to develop a faster and stronger antibody response. In people with milder symptoms, the presence of antibodies in the blood tends to ramp up more slowly, meaning that tests need to performed later.
“The problem is after a couple of weeks, the detection rate remains at about 50%-60%, especially in asymptomatic or mildly symptomatic cases,” Ho said. “But this may not be a fault of the tests, because even using more sensitive methods in the lab we can see the antibody levels are quite low.”
It is not yet clear whether this 50%-60% figure will improve much if people are tested three or four weeks after infection. To answer this, recovered patients need to be tracked for a longer period, but Koopmans is not optimistic that the detection rate will reach the levels seen in severe cases.
“The sensitivity of these tests, I expect, will be relatively low,” she said. “I wouldn’t be surprised if you end up around 50%-60%. Even if they’re not that costly, why burn all those assays if that’s the information you get?”

Some of the commercial home tests claim, in promotional materials, to have sensitivities above 90%. However, these figures are likely to be based on tests in patients recovering in hospital, who represent the most severe end of the spectrum in terms of symptoms. “There’s this missing piece of how does it work in the 85% of people in the other category,” said Koopmans.
A Department of Health and Social Care spokesperson said: “Antibody tests offer the hope that people who think they have had the disease will know they are immune and get back to life as normal. We are currently working with several companies who are offering these tests and are evaluating their effectiveness.
“The Covid[-19] scientific advisory panel, led by Prof Sir John Bell, is currently undertaking a rapid evaluation process to establish their reliability. We will publish the results of this evaluation once it is completed.”


Topics



Coronavirus outbreak






Matt Hancock




Boris Johnson




news






Share on Facebook






Share on Twitter






Share via Email






Share on LinkedIn






Share on Pinterest






Share on WhatsApp






Share on Messenger








Reuse this content




"
"10","https://www.theguardian.com/us-news/2020/apr/05/us-navy-captain-brett-crozier-fired-coronavirus-ests-positive","

Sun 5 Apr 2020 16.17 EDT

Last modified on Sun 5 Apr 2020 17.32 EDT
","
US Navy captain fired for raising coronavirus concerns tests positive himself
","
Brett Crozier, the US Navy captain who was removed from his command this week after he wrote a memo expressing concern for the health of crew members exposed to coronavirus, has himself tested positive, the New York Times first reported.



US surgeon general warns of 'Pearl Harbor moment' as Americans face 'hardest week'







Read more





The Times report cited two US Naval Academy classmates close to Crozier’s family. The details of Crozier’s condition were unclear.
Crozier was dismissed as captain of the USS Theodore Roosevelt, a nuclear-powered aircraft carrier, after writing a letter alerting navy leaders that Covid-19 aboard the vessel was threatening the lives of his sailors.
“The spread of the disease is ongoing and accelerating,” he wrote.
As he left the ship following his dismissal, Crozier was cheered exuberantly by his former crew.
On Saturday, Donald Trump said he did not think Crozier should have written the letter, which he said was a “terrible” thing to do.
“The letter was a five-page letter from a captain, and the letter was all over the place,” Trump said at a White House briefing. “That’s not appropriate.”
“I thought it was terrible, what he did, to write a letter. I mean, this isn’t a class on literature. This is a captain of a massive ship that’s nuclear powered. And he shouldn’t be talking that way in a letter.”
The Washington Post has reported that acting navy secretary Thomas Modly “told one colleague [on] Wednesday, the day before he announced the move: ‘Breaking news: Trump wants him fired’.”
The president said: “I didn’t make the decision.”
Defense secretary Mark Esper defended the decision to dismiss Crozier on cable news on Sunday morning, saying “when all those facts come to bear we’ll have a chance to understand” why the decision was taken.
Esper told CNN’s State of the Union he supported the decision to relieve Crozier, which he said was made by navy leadership, but “there is an investigation ongoing”.
Esper said “we need to take care of the sailors on the ship”, adding that there have been 155 positive coronavirus tests on the Roosevelt.
Presumed Democratic presidential nominee Joe Biden called Crozier’s dismissal “close to criminal”.
“It’s close to criminal the way they’re dealing with this guy,” the former vice-president told ABC’s This Week. “The idea that this man stood up and said what had to be said, got it out that his troops, his navy personnel were in danger … Look how many have the virus.
“I think he should have a commendation rather than be fired.”


Topics



US military






Trump administration




US national security




Coronavirus outbreak




US politics




news






Share on Facebook






Share on Twitter






Share via Email






Share on LinkedIn






Share on Pinterest






Share on WhatsApp






Share on Messenger








Reuse this content




"
